parcel_number,address,tokens,tags
590-0210-0274-00,1043 1051 NORTH BEND RD,1043|1051|NORTH|BEND|RD|_EOS_,AddressNumber|AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
561-0021-0146-00,10456 3 JESICA UNIT 3 LN,10456|3|JESICA|UNIT|3|LN|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|OccupancyType|OccupancyIdentifier|StreetNamePostType|EOS
500-0122-0145-00,1061 110 WITTSHIRE CR,1061|110|WITTSHIRE|CR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
603-0A23-0198-00,107 VINTAGE CLUB BV,107|VINTAGE|CLUB|BV|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
500-0122-0151-00,1080 20 WITTSHIRE LN,1080|20|WITTSHIRE|LN|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
612-0150-0712-00,10856 REED HARTMAN HW,10856|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
612-0150-0713-00,10866 REED HARTMAN HW,10866|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
500-0122-0137-00,1087 120 WITTSHIRE LN,1087|120|WITTSHIRE|LN|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
612-0150-0523-00,10900 E ALLENHURST BV,10900|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
612-0150-0524-00,10901 E ALLENHURST BV,10901|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
612-0150-0525-00,10903 E ALLENHURST BV,10903|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
612-0150-0526-00,10905 E ALLENHURST BV,10905|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
612-0150-0521-00,10910 E ALLENHURST BV,10910|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
612-0150-0528-00,10915 E ALLENHURST BV,10915|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
612-0150-0520-00,10920 E ALLENHURST BV,10920|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
612-0150-0529-00,10931 E ALLENHURST BV,10931|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
612-0150-0519-00,10934 E ALLENHURST BV,10934|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
612-0150-0518-00,10946 E ALLENHURST BV,10946|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
612-0150-0530-00,10947 E ALLENHURST BV,10947|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
612-0150-0517-00,10960 E ALLENHURST BV,10960|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
612-0150-0531-00,10969 E ALLENHURST BV,10969|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
612-0150-0516-00,10976 E ALLENHURST BV,10976|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
608-0009-0271-00,10989 E ALLENHURST BV,10989|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
080-0002-0349-00,110 2 E THIRTEENTH ST,110|2|E|THIRTEENTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
080-0002-0350-00,110 3 E THIRTEENTH ST,110|3|E|THIRTEENTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
612-0170-0242-00,11007 REED HARTMAN HW,11007|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
612-0170-0433-00,11025 REED HARTMAN HW,11025|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
612-0170-0177-00,11033 REED HARTMAN HW,11033|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
608-0010-0110-00,11034 E ALLENHURST BV,11034|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
608-0010-0109-00,11040 E ALLENHURST BV,11040|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
608-0010-0108-00,11046 E ALLENHURST BV,11046|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
608-0010-0107-00,11052 E ALLENHURST BV,11052|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
608-0010-0118-00,11053 E ALLENHURST BV,11053|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
608-0010-0106-00,11058 E ALLENHURST BV,11058|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
608-0010-0119-00,11059 E ALLENHURST BV,11059|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
608-0010-0105-00,11064 E ALLENHURST BV,11064|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
608-0010-0104-00,11070 E ALLENHURST BV,11070|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
608-0010-0121-00,11071 E ALLENHURST BV,11071|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
608-0010-0103-00,11076 E ALLENHURST BV,11076|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
608-0010-0122-00,11077 E ALLENHURST BV,11077|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
608-0010-0102-00,11082 E ALLENHURST BV,11082|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
080-0002-0325-00,111 1 E THIRTEENTH ST,111|1|E|THIRTEENTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
080-0002-0326-00,111 2 E THIRTEENTH ST,111|2|E|THIRTEENTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
080-0002-0327-00,111 3 E THIRTEENTH ST,111|3|E|THIRTEENTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
080-0002-0328-00,111 4 E THIRTEENTH ST,111|4|E|THIRTEENTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
608-0010-0124-00,11101 E ALLENHURST BV,11101|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
608-0010-0087-00,11118 E ALLENHURST BV,11118|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
608-0010-0095-00,11119 E ALLENHURST BV,11119|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
608-0010-0086-00,11124 E ALLENHURST BV,11124|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
608-0010-0096-00,11125 E ALLENHURST BV,11125|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
608-0010-0085-00,11130 E ALLENHURST BV,11130|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
608-0010-0097-00,11131 E ALLENHURST BV,11131|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
608-0010-0084-00,11136 E ALLENHURST BV,11136|E|ALLENHURST|BV|_EOS_,AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
500-0122-0106-00,1117 140 WITTSHIRE LN,1117|140|WITTSHIRE|LN|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
080-0002-0351-00,112 1 E THIRTEENTH ST,112|1|E|THIRTEENTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
080-0002-0352-00,112 5 E THIRTEENTH ST,112|5|E|THIRTEENTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
080-0002-0353-00,112 6 E THIRTEENTH ST,112|6|E|THIRTEENTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
612-0170-0181-00,11220 REED HARTMAN HW,11220|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
500-0122-0178-00,1125 130 WITTSHIRE LN,1125|130|WITTSHIRE|LN|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
612-0170-0077-00,11255 REED HARTMAN HW,11255|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
612-0170-0070-00,11305 REED HARTMAN HW,11305|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
612-0170-0178-00,11349 REED HARTMAN HW,11349|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
612-0170-0174-00,11353 REED HARTMAN HW,11353|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
612-0170-0189-00,11380 REED HARTMAN HW,11380|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
612-0170-0064-00,11401 REED HARTMAN HW,11401|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
612-0170-0540-00,11427 REED HARTMAN HW,11427|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
500-0122-0086-00,1143 150 WITTSHIRE LN,1143|150|WITTSHIRE|LN|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
612-0170-0334-00,11435 REED HARTMAN HW,11435|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
500-0203-0321-00,1149 410 WITT RD,1149|410|WITT|RD|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
500-0203-0331-00,1149 420 WITT RD,1149|420|WITT|RD|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
612-0170-0617-00,11511-517 REED HARTMAN HW,11511-517|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS
081-0002-0559-00,116 102 W FIFTHTEENTH ST,116|102|W|FIFTHTEENTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
081-0002-0566-00,116 301 W FIFTEENTH ST,116|301|W|FIFTEENTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
500-0203-0303-00,1163 310 WITT RD,1163|310|WITT|RD|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
500-0203-0293-00,1171 210 WITT RD,1171|210|WITT|RD|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
500-0203-0281-00,1177 110 WITT RD,1177|110|WITT|RD|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
081-0002-0448-00,118 181 W FIFTEENTH ST,118|181|W|FIFTEENTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
081-0002-0449-00,118 182 W FIFTEENTH ST,118|182|W|FIFTEENTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
081-0002-0450-00,118 183 W FIFTEENTH ST,118|183|W|FIFTEENTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
075-0004-0370-00,119 1 E TWELFTH ST,119|1|E|TWELFTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
076-0001-0419-00,119 1 W CENTRAL PKWY,119|1|W|CENTRAL|PKWY|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
079-0001-0161-00,119 101 E COURT ST,119|101|E|COURT|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
079-0001-0162-00,119 102 E COURT ST,119|102|E|COURT|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
079-0001-0163-00,119 103 E COURT ST,119|103|E|COURT|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
075-0004-0371-00,119 2 E TWELFTH ST,119|2|E|TWELFTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
076-0001-0420-00,119 2 W CENTRAL PKWY,119|2|W|CENTRAL|PKWY|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
079-0001-0164-00,119 200 E COURT ST,119|200|E|COURT|ST|_EOS_,AddressNumber|AddressNumber|PreDirectional|StreetName|StreetNamePostType|EOS
075-0004-0372-00,119 3 E TWELFTH ST,119|3|E|TWELFTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
076-0001-0421-00,119 3 W CENTRAL PKWY,119|3|W|CENTRAL|PKWY|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
079-0001-0165-00,119 300 E COURT ST,119|300|E|COURT|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
076-0001-0422-00,119 4 W CENTRAL PKWY,119|4|W|CENTRAL|PKWY|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
079-0001-0166-00,119 400 E COURT ST,119|400|E|COURT|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
573-0007-0016-00,12 2C STONEHAVEN DR,12|2C|STONEHAVEN|DR|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
080-0002-0341-00,120 1 E THIRTEENTH ST,120|1|E|THIRTEENTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
080-0002-0342-00,120 2 E THIRTEENTH ST,120|2|E|THIRTEENTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
080-0002-0343-00,120 3 E THIRTEENTH ST,120|3|E|THIRTEENTH|ST|_EOS_,AddressNumber|OccupancyIdentifier|PreDirectional|StreetName|StreetNamePostType|EOS
621-0024-0111-00,120 310 CARRINGTON LN,120|310|CARRINGTON|LN|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0120-00,1201 1001 EDGECLIFF PL,1201|1001|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0121-00,1201 1002 EDGECLIFF PL,1201|1002|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0122-00,1201 1011 EDGECLIFF PL,1201|1011|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0123-00,1201 1012 EDGECLIFF PL,1201|1012|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0124-00,1201 1013 EDGECLIFF PL,1201|1013|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0125-00,1201 1021 EDGECLIFF PL,1201|1021|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0126-00,1201 1022 EDGECLIFF PL,1201|1022|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0127-00,1201 1023 EDGECLIFF PL,1201|1023|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0128-00,1201 1031 EDGECLIFF PL,1201|1031|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0129-00,1201 1032 EDGECLIFF PL,1201|1032|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0130-00,1201 1033 EDGECLIFF PL,1201|1033|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0131-00,1201 1041 EDGECLIFF PL,1201|1041|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0132-00,1201 1042 EDGECLIFF PL,1201|1042|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0133-00,1201 1043 EDGECLIFF PL,1201|1043|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0134-00,1201 1051 EDGECLIFF PL,1201|1051|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0135-00,1201 1052 EDGECLIFF PL,1201|1052|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0136-00,1201 1053 EDGECLIFF PL,1201|1053|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0137-00,1201 1061 EDGECLIFF PL,1201|1061|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0139-00,1201 1063 EDGECLIFF PL,1201|1063|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0140-00,1201 1071 EDGECLIFF PL,1201|1071|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0141-00,1201 1072 EDGECLIFF PL,1201|1072|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0142-00,1201 1073 EDGECLIFF PL,1201|1073|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0143-00,1201 1081 EDGECLIFF PL,1201|1081|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0144-00,1201 1082 EDGECLIFF PL,1201|1082|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0145-00,1201 1083 EDGECLIFF PL,1201|1083|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0146-00,1201 1091 EDGECLIFF PL,1201|1091|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0147-00,1201 1092 EDGECLIFF PL,1201|1092|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0148-00,1201 1093 EDGECLIFF PL,1201|1093|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0149-00,1201 1101 EDGECLIFF PL,1201|1101|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0150-00,1201 1102 EDGECLIFF PL,1201|1102|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0151-00,1201 1103 EDGECLIFF PL,1201|1103|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0152-00,1201 1111 EDGECLIFF PL,1201|1111|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0153-00,1201 1112 EDGECLIFF PL,1201|1112|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0154-00,1201 1113 EDGECLIFF PL,1201|1113|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0155-00,1201 1121 EDGECLIFF PL,1201|1121|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0156-00,1201 1122 EDGECLIFF PL,1201|1122|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0157-00,1201 1123 EDGECLIFF PL,1201|1123|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0158-00,1201 1141 EDGECLIFF PL,1201|1141|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0159-00,1201 1142 EDGECLIFF PL,1201|1142|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0160-00,1201 1143 EDGECLIFF PL,1201|1143|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0161-00,1201 1151 EDGECLIFF PL,1201|1151|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0162-00,1201 1152 EDGECLIFF PL,1201|1152|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
032-0003-0163-00,1201 1153 EDGECLIFF PL,1201|1153|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS
