parcel_number,address,tokens,tags,
612-0150-0521-00,10910 E ALLENHURST BV,10910|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
612-0150-0528-00,10915 E ALLENHURST BV,10915|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
612-0150-0520-00,10920 E ALLENHURST BV,10920|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
612-0150-0529-00,10931 E ALLENHURST BV,10931|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
612-0150-0519-00,10934 E ALLENHURST BV,10934|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
612-0150-0518-00,10946 E ALLENHURST BV,10946|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
612-0150-0530-00,10947 E ALLENHURST BV,10947|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
612-0150-0517-00,10960 E ALLENHURST BV,10960|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
612-0150-0531-00,10969 E ALLENHURST BV,10969|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
612-0150-0516-00,10976 E ALLENHURST BV,10976|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
608-0009-0271-00,10989 E ALLENHURST BV,10989|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
612-0170-0242-00,11007 REED HARTMAN HW,11007|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS,
612-0170-0436-00,11007 REED HARTMAN HW,11007|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS,
612-0170-0433-00,11025 REED HARTMAN HW,11025|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS,
612-0170-0177-00,11033 REED HARTMAN HW,11033|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS,
608-0010-0110-00,11034 E ALLENHURST BV,11034|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
608-0010-0109-00,11040 E ALLENHURST BV,11040|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
608-0010-0108-00,11046 E ALLENHURST BV,11046|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
608-0010-0107-00,11052 E ALLENHURST BV,11052|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
608-0010-0118-00,11053 E ALLENHURST BV,11053|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
608-0010-0106-00,11058 E ALLENHURST BV,11058|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
608-0010-0119-00,11059 E ALLENHURST BV,11059|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
608-0010-0105-00,11064 E ALLENHURST BV,11064|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
608-0010-0104-00,11070 E ALLENHURST BV,11070|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
608-0010-0121-00,11071 E ALLENHURST BV,11071|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
608-0010-0103-00,11076 E ALLENHURST BV,11076|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
608-0010-0122-00,11077 E ALLENHURST BV,11077|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
608-0010-0102-00,11082 E ALLENHURST BV,11082|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
608-0010-0124-00,11101 E ALLENHURST BV,11101|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
608-0010-0087-00,11118 E ALLENHURST BV,11118|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
608-0010-0095-00,11119 E ALLENHURST BV,11119|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
608-0010-0086-00,11124 E ALLENHURST BV,11124|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
608-0010-0096-00,11125 E ALLENHURST BV,11125|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
608-0010-0085-00,11130 E ALLENHURST BV,11130|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
608-0010-0097-00,11131 E ALLENHURST BV,11131|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
608-0010-0084-00,11136 E ALLENHURST BV,11136|E|ALLENHURST|BV|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
612-0170-0181-00,11220 REED HARTMAN HW,11220|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS,
612-0170-0077-00,11255 REED HARTMAN HW,11255|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS,
612-0170-0598-00,11255 REED HARTMAN HW,11255|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS,
612-0170-0070-00,11305 REED HARTMAN HW,11305|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS,
612-0170-0128-00,11305 REED HARTMAN HW,11305|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS,
612-0170-0178-00,11349 REED HARTMAN HW,11349|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS,
612-0170-0174-00,11353 REED HARTMAN HW,11353|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS,
612-0170-0189-00,11380 REED HARTMAN HW,11380|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS,
612-0170-0064-00,11401 REED HARTMAN HW,11401|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS,
612-0170-0540-00,11427 REED HARTMAN HW,11427|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS,
612-0170-0334-00,11435 REED HARTMAN HW,11435|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS,
612-0170-0617-00,11511-11517 REED HARTMAN HW,11511-11517|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS,
032-0003-0120-00,1201 1001 EDGECLIFF PL,1201|1001|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0121-00,1201 1002 EDGECLIFF PL,1201|1002|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0122-00,1201 1011 EDGECLIFF PL,1201|1011|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0123-00,1201 1012 EDGECLIFF PL,1201|1012|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0124-00,1201 1013 EDGECLIFF PL,1201|1013|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0125-00,1201 1021 EDGECLIFF PL,1201|1021|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0126-00,1201 1022 EDGECLIFF PL,1201|1022|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0127-00,1201 1023 EDGECLIFF PL,1201|1023|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0128-00,1201 1031 EDGECLIFF PL,1201|1031|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0129-00,1201 1032 EDGECLIFF PL,1201|1032|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0130-00,1201 1033 EDGECLIFF PL,1201|1033|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0131-00,1201 1041 EDGECLIFF PL,1201|1041|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0132-00,1201 1042 EDGECLIFF PL,1201|1042|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0133-00,1201 1043 EDGECLIFF PL,1201|1043|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0134-00,1201 1051 EDGECLIFF PL,1201|1051|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0135-00,1201 1052 EDGECLIFF PL,1201|1052|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0136-00,1201 1053 EDGECLIFF PL,1201|1053|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0137-00,1201 1061 EDGECLIFF PL,1201|1061|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0139-00,1201 1063 EDGECLIFF PL,1201|1063|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0140-00,1201 1071 EDGECLIFF PL,1201|1071|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0141-00,1201 1072 EDGECLIFF PL,1201|1072|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0142-00,1201 1073 EDGECLIFF PL,1201|1073|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0143-00,1201 1081 EDGECLIFF PL,1201|1081|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0144-00,1201 1082 EDGECLIFF PL,1201|1082|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0145-00,1201 1083 EDGECLIFF PL,1201|1083|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0146-00,1201 1091 EDGECLIFF PL,1201|1091|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0147-00,1201 1092 EDGECLIFF PL,1201|1092|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0148-00,1201 1093 EDGECLIFF PL,1201|1093|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0149-00,1201 1101 EDGECLIFF PL,1201|1101|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0150-00,1201 1102 EDGECLIFF PL,1201|1102|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0151-00,1201 1103 EDGECLIFF PL,1201|1103|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0152-00,1201 1111 EDGECLIFF PL,1201|1111|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0153-00,1201 1112 EDGECLIFF PL,1201|1112|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0154-00,1201 1113 EDGECLIFF PL,1201|1113|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0155-00,1201 1121 EDGECLIFF PL,1201|1121|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0156-00,1201 1122 EDGECLIFF PL,1201|1122|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0157-00,1201 1123 EDGECLIFF PL,1201|1123|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0158-00,1201 1141 EDGECLIFF PL,1201|1141|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0159-00,1201 1142 EDGECLIFF PL,1201|1142|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0160-00,1201 1143 EDGECLIFF PL,1201|1143|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0161-00,1201 1151 EDGECLIFF PL,1201|1151|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0162-00,1201 1152 EDGECLIFF PL,1201|1152|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0163-00,1201 1153 EDGECLIFF PL,1201|1153|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0164-00,1201 1161 EDGECLIFF PL,1201|1161|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0165-00,1201 1162 EDGECLIFF PL,1201|1162|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0166-00,1201 1163 EDGECLIFF PL,1201|1163|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0167-00,1201 1171 EDGECLIFF PL,1201|1171|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0168-00,1201 1172 EDGECLIFF PL,1201|1172|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0170-00,1201 1181 EDGECLIFF PL,1201|1181|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0171-00,1201 1182 EDGECLIFF PL,1201|1182|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0172-00,1201 1183 EDGECLIFF PL,1201|1183|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0173-00,1201 1191 EDGECLIFF PL,1201|1191|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
032-0003-0174-00,1201 1192 EDGECLIFF PL,1201|1192|EDGECLIFF|PL|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
600-0140-0401-00,12100 REED HARTMAN HW,12100|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS,
179-0075-0226-00,1211 1215 SUNSET AVE,1211|1215|SUNSET|AVE|_EOS_,AddressNumber|AddressNumber|StreetName|StreetNamePostType|EOS,
131-0004-0004-00,1223 1225 FRANKLIN AVE,1223|1225|FRANKLIN|AVE|_EOS_,AddressNumber|AddressNumber|StreetName|StreetNamePostType|EOS,
600-0140-0001-00,12500 REED HARTMAN HW,12500|REED|HARTMAN|HW|_EOS_,AddressNumber|StreetName|StreetName|StreetNamePostType|EOS,
179-0077-0253-00,1254 1256 RUTLEDGE AVE,1254|1256|RUTLEDGE|AVE|_EOS_,AddressNumber|AddressNumber|StreetName|StreetNamePostType|EOS,
046-0005-0073-00,1292 1 MICHIGAN AVE,1292|1|MICHIGAN|AVE|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
247-0006-0071-00,1312 1324 W NORTH BEND RD,1312|1324|W|NORTH|BEND|RD|_EOS_,AddressNumber|AddressNumber|StreetNamePreDirectional|StreetName|StreetName|StreetNamePostType|EOS,
075-0002-0288-00,1322- 1324 SPRING ST,1322-|1324|SPRING|ST|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
599-0020-0023-00,1325 1329 E KEMPER RD,1325|1329|E|KEMPER|RD|_EOS_,AddressNumber|StreetNamePreDirectional|StreetName|StreetNamePostType|EOS,
075-0002-0289-00,1328 -1332 SPRING ST,1328|-1332|SPRING|ST|_EOS_,AddressNumber|AddressNumber|StreetName|StreetNamePostType|EOS,STOPHERE
080-0002-0428-00,1332 C-2 VINE ST,1332|C-2|VINE|ST|_EOS_,AddressNumber|OccupancyIdentifier|StreetName|StreetNamePostType|EOS,
046-0002-0051-00,1343 - 1345 DUNCAN AVE,1343|-|1345|DUNCAN|AVE|_EOS_,AddressNumber|NotAddress|AddressNumber|StreetName|StreetNamePostType|EOS,
062-0001-0140-00,1343 1345 BURDETTE AVE,1343|1345|BURDETTE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
061-0002-0040-00,1352 1354 BURDETTE AVE,1352|1354|BURDETTE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
062-0001-0005-00,1357 1359 BURDETTE AVE,1357|1359|BURDETTE|AVE|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
591-0017-0075-00,1388 1B WAYCROSS RD,1388|1B|WAYCROSS|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
591-0017-0077-00,1394 2B WAYCROSS RD,1394|2B|WAYCROSS|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
080-0001-0263-00,1400 A-2 VINE ST,1400|A-2|VINE|ST|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
591-0017-0081-00,1404 4B WAYCROSS RD,1404|4B|WAYCROSS|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
591-0017-0082-00,1410 5A WAYCROSS RD,1410|5A|WAYCROSS|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
591-0017-0083-00,1410 5B WAYCROSS RD,1410|5B|WAYCROSS|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
080-0001-0220-00,1417 1421 B MAIN ST,1417|1421|B|MAIN|ST|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
081-0002-0528-00,1420 1A ELM ST,1420|1A|ELM|ST|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
081-0002-0529-00,1420 1B ELM ST,1420|1B|ELM|ST|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
081-0002-0530-00,1420 2A ELM ST,1420|2A|ELM|ST|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
081-0002-0531-00,1420 2B ELM ST,1420|2B|ELM|ST|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
081-0002-0532-00,1420 3A ELM ST,1420|3A|ELM|ST|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
081-0002-0533-00,1420 3B ELM ST,1420|3B|ELM|ST|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
081-0002-0534-00,1420 4A ELM ST,1420|4A|ELM|ST|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
081-0002-0535-00,1420 4B ELM ST,1420|4B|ELM|ST|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
591-0019-0189-00,1440 1001 W KEMPER RD,1440|1001|W|KEMPER|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
591-0019-0190-00,1440 1002 W KEMPER RD,1440|1002|W|KEMPER|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
591-0019-0191-00,1440 1003 W KEMPER RD,1440|1003|W|KEMPER|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
591-0019-0192-00,1440 1004 W KEMPER RD,1440|1004|W|KEMPER|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
591-0019-0193-00,1440 1005 W KEMPER RD,1440|1005|W|KEMPER|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
591-0019-0194-00,1440 1006 W KEMPER RD,1440|1006|W|KEMPER|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
591-0019-0195-00,1440 1007 W KEMPER,1440|1007|W|KEMPER|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
591-0019-0196-00,1440 1008 W KEMPER RD,1440|1008|W|KEMPER|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
591-0019-0197-00,1440 1009 W KEMPER RD,1440|1009|W|KEMPER|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
591-0019-0199-00,1440 1011 W KEMPER RD,1440|1011|W|KEMPER|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
591-0019-0200-00,1440 1012 W KEMPER RD,1440|1012|W|KEMPER|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
591-0019-0201-00,1440 1013 W KEMPER RD,1440|1013|W|KEMPER|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
591-0019-0202-00,1440 1014 W KEMPER RD,1440|1014|W|KEMPER|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
591-0019-0203-00,1440 1015 W KEMPER RD,1440|1015|W|KEMPER|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
591-0019-0204-00,1440 1016 W KEMPER RD,1440|1016|W|KEMPER|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
591-0019-0205-00,1440 1017 W KEMPER RD,1440|1017|W|KEMPER|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
591-0019-0206-00,1440 1018 W KEMPER RD,1440|1018|W|KEMPER|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
591-0019-0207-00,1440 1101 W KEMPER RD,1440|1101|W|KEMPER|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
591-0019-0208-00,1440 1102 W KEMPER RD,1440|1102|W|KEMPER|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
591-0019-0209-00,1440 1103 W KEMPER RD,1440|1103|W|KEMPER|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
591-0019-0210-00,1440 1104 W KEMPER RD,1440|1104|W|KEMPER|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
591-0019-0211-00,1440 1105 W KEMPER RD,1440|1105|W|KEMPER|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
591-0019-0212-00,1440 1106 W KEMPER RD,1440|1106|W|KEMPER|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
591-0019-0213-00,1440 1107 W KEMPER RD,1440|1107|W|KEMPER|RD|_EOS_,AddressNumber|StreetName|StreetNamePostType|EOS,
